"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd","nLoopCount","nLoopLengthAvg","nLoopLengthStd"
"1","ZEB,ZEB",1,1,0.377964473009227,0,0,0
"2","OVOL,ZEB",1,1,0.377964473009227,0,0,0
"3","ZEB,OVOL",2,1.5,0.786795792469443,0,0,0
"4","miR200,ZEB",3,3,1.70433620649269,0,0,0
"5","OVOL,STAT3",1,2,0.755928946018454,0,0,0
"6","STAT3,miR200",1,2,0.755928946018454,0,0,0
"7","ZEB,miR200",1,4,1.51185789203691,0,0,0
"8","miR34,SNAIL",3,3,1.70433620649269,0,0,0
"9","SNAIL,ZEB",1,2,0.755928946018454,0,0,0
"10","ZEB,miR34",2,2.5,1.25356634105602,0,0,0
"11","SNAIL,miR200",1,3,1.13389341902768,0,0,0
"12","SNAIL,miR34",1,4,1.51185789203691,0,0,0
"13","SNAIL,SNAIL",0,0,0,1,1,0.707106781186548
"14","OVOL,OVOL",0,0,0,1,1,0.707106781186548
